,annotation_id,annotator,created_at,id,image,label,lead_time,updated_at
10,11,1,2023-07-21T15:18:47.652923Z,11,gs75589_Frame_19.jpg,"[{""x"":37.22826086956522,""y"":39.1304347826087,""width"":6.25,""height"":8.454106280193237,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":60.05434782608695,""y"":40.579710144927546,""width"":4.34782608695653,""height"":6.038647342995169,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.646,2023-07-21T15:18:47.655368Z
11,12,1,2023-07-21T15:19:03.911808Z,12,gs75589_Frame_20.jpg,"[{""x"":37.63586956521739,""y"":39.371980676328505,""width"":5.706521739130437,""height"":7.971014492753625,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":40.82125603864735,""width"":5.027173913043484,""height"":5.797101449275367,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.613,2023-07-21T15:19:03.911844Z
12,13,1,2023-07-21T15:19:24.135806Z,13,gs75589_Frame_21.jpg,"[{""x"":37.36413043478261,""y"":39.613526570048315,""width"":6.25,""height"":7.487922705314006,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.91847826086957,""y"":41.30434782608696,""width"":4.211956521739118,""height"":4.830917874396135,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",19.563,2023-07-21T15:19:24.135841Z
13,14,1,2023-07-21T15:19:37.108586Z,14,gs75589_Frame_22.jpg,"[{""x"":37.5,""y"":39.371980676328505,""width"":5.978260869565219,""height"":8.212560386473434,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.91847826086957,""y"":40.82125603864735,""width"":4.6195652173912904,""height"":6.521739130434781,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.446,2023-07-21T15:19:37.108633Z
14,15,1,2023-07-21T15:19:51.553635Z,15,gs75589_Frame_23.jpg,"[{""x"":37.36413043478261,""y"":40.338164251207736,""width"":5.706521739130437,""height"":6.280193236714979,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":41.54589371980677,""width"":4.7554347826087024,""height"":4.589371980676326,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",13.937,2023-07-21T15:19:51.553673Z
15,16,1,2023-07-21T15:20:05.631508Z,16,gs75589_Frame_24.jpg,"[{""x"":37.36413043478261,""y"":40.338164251207736,""width"":5.842391304347821,""height"":7.0048309178743935,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.91847826086957,""y"":41.06280193236715,""width"":4.211956521739118,""height"":5.314009661835755,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",13.568,2023-07-21T15:20:05.631541Z
16,17,1,2023-07-21T15:20:20.385444Z,17,gs75589_Frame_25.jpg,"[{""x"":37.36413043478261,""y"":40.579710144927546,""width"":5.978260869565219,""height"":6.763285024154584,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":60.190217391304344,""y"":40.338164251207736,""width"":4.076086956521749,""height"":5.3140096618357475,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",14.315,2023-07-21T15:20:20.385483Z
17,18,1,2023-07-21T15:20:34.357198Z,18,gs75589_Frame_26.jpg,"[{""x"":37.36413043478261,""y"":39.613526570048315,""width"":5.978260869565219,""height"":7.487922705314006,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":60.05434782608695,""y"":40.338164251207736,""width"":3.8043478260869605,""height"":6.038647342995169,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",13.445,2023-07-21T15:20:34.357235Z
18,19,1,2023-07-21T15:20:47.174909Z,19,gs75589_Frame_27.jpg,"[{""x"":36.95652173913043,""y"":39.371980676328505,""width"":6.5217391304347885,""height"":7.729468599033815,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":40.82125603864735,""width"":4.7554347826087024,""height"":6.280193236714972,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.308,2023-07-21T15:20:47.174942Z
19,20,1,2023-07-21T15:22:02.225741Z,20,gs75589_Frame_28.jpg,"[{""x"":36.95652173913043,""y"":38.40579710144928,""width"":7.065217391304351,""height"":9.178743961352659,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.78260869565217,""y"":40.82125603864735,""width"":4.483695652173921,""height"":6.280193236714972,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",74.52,2023-07-21T15:22:02.225780Z
20,21,1,2023-07-21T15:22:13.632750Z,21,gs75589_Frame_29.jpg,"[{""x"":36.82065217391305,""y"":38.88888888888889,""width"":7.065217391304344,""height"":8.695652173913047,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":41.30434782608696,""width"":4.34782608695653,""height"":5.79710144927536,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.844,2023-07-21T15:22:13.632786Z
21,22,1,2023-07-21T15:22:38.349590Z,22,gs75589_Frame_30.jpg,"[{""x"":37.36413043478261,""y"":40.09661835748793,""width"":6.25,""height"":7.0048309178743935,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.78260869565217,""y"":41.06280193236715,""width"":4.891304347826093,""height"":6.280193236714979,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",24.171,2023-07-21T15:22:38.349623Z
22,23,1,2023-07-21T15:22:51.129710Z,23,gs75589_Frame_31.jpg,"[{""x"":36.95652173913043,""y"":39.371980676328505,""width"":6.657608695652179,""height"":8.212560386473434,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.375,""y"":40.338164251207736,""width"":5.298913043478265,""height"":7.246376811594203,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.273,2023-07-21T15:22:51.129745Z
23,24,1,2023-07-21T15:23:15.339279Z,24,gs75589_Frame_32.jpg,"[{""x"":36.684782608695656,""y"":39.613526570048315,""width"":7.3369565217391255,""height"":8.454106280193237,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":40.579710144927546,""width"":4.619565217391312,""height"":6.521739130434774,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",23.691,2023-07-21T15:23:15.339313Z
24,25,1,2023-07-21T15:23:33.768098Z,25,gs75589_Frame_33.jpg,"[{""x"":36.95652173913043,""y"":40.09661835748793,""width"":7.065217391304351,""height"":8.212560386473434,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.64673913043478,""y"":40.338164251207736,""width"":4.619565217391312,""height"":7.0048309178743935,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",17.99,2023-07-21T15:23:33.768135Z
25,26,1,2023-07-21T15:23:53.007905Z,26,gs75589_Frame_34.jpg,"[{""x"":37.09239130434783,""y"":39.371980676328505,""width"":7.201086956521742,""height"":8.695652173913047,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":59.91847826086957,""y"":40.82125603864735,""width"":4.483695652173914,""height"":6.763285024154591,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",18.666,2023-07-21T15:23:53.007942Z
26,27,1,2023-07-21T15:24:36.182353Z,27,gs75589_Frame_35.jpg,"[{""x"":37.63586956521739,""y"":38.16425120772947,""width"":6.25,""height"":8.695652173913047,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":60.190217391304344,""y"":39.1304347826087,""width"":5.298913043478265,""height"":7.0048309178743935,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",42.348,2023-07-21T15:24:36.182394Z
27,28,1,2023-07-21T15:24:53.129347Z,28,gs75589_Frame_36.jpg,"[{""x"":39.53804347826087,""y"":35.26570048309179,""width"":6.793478260869563,""height"":10.14492753623189,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":62.22826086956522,""y"":37.43961352657006,""width"":5.02717391304347,""height"":7.971014492753625,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",16.355,2023-07-21T15:24:53.129385Z
28,29,1,2023-07-21T15:25:06.223826Z,29,gs75589_Frame_37.jpg,"[{""x"":41.440217391304344,""y"":36.714975845410635,""width"":7.201086956521742,""height"":10.628019323671495,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":63.858695652173914,""y"":39.1304347826087,""width"":5.70652173913043,""height"":8.212560386473427,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.52,2023-07-21T15:25:06.223862Z
29,30,1,2023-07-21T15:25:18.740636Z,30,gs75589_Frame_38.jpg,"[{""x"":38.04347826086957,""y"":36.473429951690825,""width"":8.016304347826086,""height"":9.420289855072461,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":62.09239130434783,""y"":37.92270531400967,""width"":4.483695652173907,""height"":10.144927536231883,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.001,2023-07-21T15:25:18.740674Z
30,31,1,2023-07-21T15:25:29.132820Z,31,gs75589_Frame_39.jpg,"[{""x"":37.09239130434783,""y"":36.473429951690825,""width"":8.69565217391304,""height"":10.628019323671495,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":61.41304347826087,""y"":38.64734299516909,""width"":4.755434782608695,""height"":8.212560386473427,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",9.919,2023-07-21T15:25:29.132855Z
31,32,1,2023-07-21T15:27:57.480391Z,32,gs75589_Frame_40.jpg,"[{""x"":38.315217391304344,""y"":38.40579710144928,""width"":7.744565217391312,""height"":8.454106280193237,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":62.22826086956522,""y"":39.371980676328505,""width"":5.02717391304347,""height"":7.004830917874401,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",147.632,2023-07-21T15:27:57.480427Z
32,33,1,2023-07-21T15:28:13.248440Z,33,gs75589_Frame_41.jpg,"[{""x"":37.22826086956522,""y"":36.95652173913044,""width"":8.288043478260867,""height"":10.144927536231883,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":61.41304347826087,""y"":37.68115942028986,""width"":6.114130434782616,""height"":10.14492753623189,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.195,2023-07-21T15:28:13.248474Z
33,34,1,2023-07-21T15:28:25.520126Z,34,gs75589_Frame_42.jpg,"[{""x"":37.09239130434783,""y"":37.68115942028986,""width"":6.793478260869563,""height"":8.937198067632856,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":61.684782608695656,""y"":39.1304347826087,""width"":5.027173913043484,""height"":7.246376811594203,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",11.784,2023-07-21T15:28:25.520161Z
34,35,1,2023-07-21T15:28:36.839775Z,35,gs75589_Frame_43.jpg,"[{""x"":36.41304347826087,""y"":36.473429951690825,""width"":7.744565217391305,""height"":10.14492753623189,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":61.277173913043484,""y"":38.88888888888889,""width"":5.978260869565204,""height"":7.487922705314013,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.482,2023-07-21T15:28:36.839807Z
35,36,1,2023-07-21T15:29:01.082480Z,36,gs75589_Frame_44.jpg,"[{""x"":37.77173913043478,""y"":36.714975845410635,""width"":7.880434782608695,""height"":10.869565217391305,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":63.315217391304344,""y"":38.64734299516909,""width"":4.891304347826093,""height"":7.246376811594196,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",23.751,2023-07-21T15:29:01.082516Z
36,37,1,2023-07-21T15:32:23.352898Z,37,gs75589_Frame_45.jpg,"[{""x"":41.825095057034225,""y"":37.17786227291931,""width"":7.79467680608365,""height"":9.463455851288543,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",14.487,2023-07-21T15:32:23.352937Z
37,38,1,2023-07-21T15:32:45.166084Z,38,gs75589_Frame_46.jpg,"[{""x"":44.39163498098859,""y"":37.51584283903676,""width"":7.414448669201526,""height"":9.294465568229825,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":70.34220532319392,""y"":39.712716518800164,""width"":4.277566539923939,""height"":7.097591888466418,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",20.569,2023-07-21T15:32:45.166121Z
38,39,1,2023-07-21T15:33:39.557495Z,39,gs75589_Frame_47.jpg,"[{""x"":44.77186311787072,""y"":37.8538234051542,""width"":7.699619771863119,""height"":9.463455851288558,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":71.00760456273764,""y"":40.557667934093786,""width"":4.372623574144498,""height"":6.759611322348974,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",53.32,2023-07-21T15:33:39.557529Z
39,40,1,2023-07-21T15:34:16.239191Z,40,gs75589_Frame_48.jpg,"[{""x"":44.77186311787072,""y"":37.00887198986058,""width"":7.699619771863119,""height"":9.125475285171106,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":71.48288973384031,""y"":39.37473595268272,""width"":4.087452471482877,""height"":7.435572454583863,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",35.498,2023-07-21T15:34:16.239229Z
40,41,1,2023-07-21T15:34:38.948617Z,41,gs75589_Frame_49.jpg,"[{""x"":40.969581749049425,""y"":37.17786227291931,""width"":8.36501901140685,""height"":9.801436417405995,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":68.15589353612167,""y"":40.21968736797634,""width"":4.56273764258556,""height"":6.590621039290241,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",21.421,2023-07-21T15:34:38.948653Z
41,42,1,2023-07-21T15:35:01.946491Z,42,gs75589_Frame_50.jpg,"[{""x"":40.874524714828894,""y"":35.825940008449514,""width"":8.555133079847913,""height"":10.139416983523446,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":68.15589353612167,""y"":38.698774820447824,""width"":5.038022813688215,""height"":7.604562737642581,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",22.519,2023-07-21T15:35:01.946528Z
42,43,1,2023-07-21T15:40:12.092028Z,43,gs75589_Frame_51.jpg,"[{""x"":41.159695817490494,""y"":36.83988170680186,""width"":8.745247148288975,""height"":10.477397549640898,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":68.8212927756654,""y"":40.21968736797634,""width"":5.038022813688215,""height"":6.928601605407685,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",236.755,2023-07-21T15:40:12.092075Z
43,44,1,2023-07-21T15:40:39.616702Z,44,gs75589_Frame_52.jpg,"[{""x"":45.43726235741445,""y"":36.33291085762569,""width"":7.604562737642588,""height"":9.801436417405995,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":88.40304182509506,""y"":42.24757076468103,""width"":3.3269961977186284,""height"":9.46345585128855,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720},{""x"":73.47908745247148,""y"":39.88170680185889,""width"":4.847908745247153,""height"":7.266582171525137,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",27.01,2023-07-21T15:40:39.616738Z
44,45,1,2023-07-21T15:41:02.289033Z,45,gs75589_Frame_53.jpg,"[{""x"":40.20912547528518,""y"":35.31896915927334,""width"":8.93536121673003,""height"":11.32234896493452,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":69.01140684410646,""y"":38.5297845373891,""width"":5.133079847908746,""height"":7.435572454583863,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720},{""x"":85.17110266159695,""y"":41.06463878326996,""width"":3.0418250950570496,""height"":9.463455851288558,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720}]",22.23,2023-07-21T15:41:02.289069Z
45,46,1,2023-07-21T15:41:24.654313Z,46,gs75589_Frame_54.jpg,"[{""x"":39.258555133079845,""y"":35.48795944233207,""width"":9.220532319391637,""height"":11.660329531051957,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":68.44106463878326,""y"":39.37473595268272,""width"":5.4182509505703536,""height"":7.773553020701307,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720},{""x"":85.93155893536122,""y"":42.24757076468103,""width"":2.756653992395428,""height"":10.139416983523454,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720}]",21.836,2023-07-21T15:41:24.654357Z
46,47,1,2023-07-21T15:42:18.599682Z,47,gs75589_Frame_55.jpg,"[{""x"":41.159695817490494,""y"":35.14997887621462,""width"":8.365019011406844,""height"":11.32234896493452,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":70.43726235741445,""y"":38.86776510350655,""width"":5.323193916349794,""height"":8.111533586818759,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720},{""x"":87.92775665399239,""y"":40.89564850021124,""width"":3.3269961977186426,""height"":9.970426700464728,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720}]",53.372,2023-07-21T15:42:18.599721Z
47,48,1,2023-07-21T15:42:42.152846Z,48,gs75589_Frame_56.jpg,"[{""x"":40.20912547528518,""y"":34.47401774397972,""width"":8.745247148288968,""height"":11.153358681875794,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":70.05703422053232,""y"":37.8538234051542,""width"":5.3231939163498225,""height"":7.942543303760033,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720},{""x"":88.59315589353612,""y"":39.205745669624,""width"":3.0418250950570354,""height"":10.646387832699617,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720}]",22.993,2023-07-21T15:42:42.152884Z
48,49,1,2023-07-21T15:43:00.566482Z,49,gs75589_Frame_57.jpg,"[{""x"":37.9277566539924,""y"":35.48795944233207,""width"":9.315589353612168,""height"":11.998310097169409,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":69.01140684410646,""y"":39.205745669624,""width"":4.752851711026622,""height"":8.111533586818759,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",17.854,2023-07-21T15:43:00.566520Z
49,50,1,2023-07-21T15:43:15.158109Z,50,gs75589_Frame_58.jpg,"[{""x"":37.0722433460076,""y"":34.98098859315589,""width"":9.79087452471483,""height"":12.505280946345586,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":68.34600760456274,""y"":39.036755386565275,""width"":5.133079847908732,""height"":8.449514152936203,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",13.93,2023-07-21T15:43:15.158149Z
50,51,1,2023-07-21T15:43:26.193165Z,51,gs75589_Frame_59.jpg,"[{""x"":39.543726235741445,""y"":34.47401774397972,""width"":10.266159695817485,""height"":12.33629066328686,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":71.7680608365019,""y"":38.19180397127165,""width"":5.038022813688215,""height"":8.449514152936203,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.454,2023-07-21T15:43:26.193195Z
51,52,1,2023-07-21T15:43:41.413664Z,52,gs75589_Frame_60.jpg,"[{""x"":40.969581749049425,""y"":34.98098859315589,""width"":9.695817490494306,""height"":12.843261512463037,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":73.00380228136882,""y"":39.37473595268272,""width"":5.038022813688215,""height"":8.280523869877484,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",14.633,2023-07-21T15:43:41.413693Z
52,53,1,2023-07-21T15:43:57.754001Z,53,gs75589_Frame_61.jpg,"[{""x"":43.06083650190114,""y"":34.47401774397972,""width"":9.980988593155892,""height"":13.350232361639208,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":75.38022813688214,""y"":39.37473595268272,""width"":5.323193916349808,""height"":7.94254330376004,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.732,2023-07-21T15:43:57.754042Z
53,54,1,2023-07-21T15:44:11.439540Z,54,gs75589_Frame_62.jpg,"[{""x"":45.53231939163498,""y"":34.64300802703845,""width"":10.266159695817493,""height"":13.519222644697926,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":77.66159695817491,""y"":40.050697084917616,""width"":5.51330798479087,""height"":8.618504435994929,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",13.149,2023-07-21T15:44:11.439576Z
