,annotation_id,annotator,created_at,id,image,label,lead_time,updated_at
10,11,1,2023-07-21T15:30:46.875648Z,11,gs75588_Frame_12.jpg,"[{""x"":36.97718631178707,""y"":4.562737642585551,""width"":38.02281368821293,""height"":47.48626953950147,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",17.369,2023-07-21T15:30:46.875685Z
11,17,1,2023-07-21T15:31:18.616393Z,17,gs75588_Frame_18.jpg,"[{""x"":28.231939163498097,""y"":0.33798056611744826,""width"":37.83269961977186,""height"":55.25982256020278,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720}]",9.603,2023-07-21T15:31:18.616429Z
12,18,1,2023-07-21T15:32:12.569993Z,18,gs75588_Frame_19.jpg,"[{""x"":30.70342205323194,""y"":5.407689057879172,""width"":36.78707224334601,""height"":43.76848331220955,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720}]",53.511,2023-07-21T15:32:12.570029Z
13,19,1,2023-07-21T15:32:29.144700Z,19,gs75588_Frame_20.jpg,"[{""x"":26.140684410646386,""y"":1.689902830587241,""width"":63.59315589353612,""height"":56.44275454161386,""rotation"":0,""rectanglelabels"":[""Left""],""original_width"":1280,""original_height"":720}]",15.991,2023-07-21T15:32:29.144737Z
14,42,1,2023-07-21T15:34:19.407987Z,42,gs75588_Frame_43.jpg,,3.693,2023-07-21T15:34:19.408022Z
15,43,1,2023-07-21T15:34:25.519185Z,43,gs75588_Frame_44.jpg,,5.662,2023-07-21T15:34:25.519221Z
16,58,1,2023-07-21T15:35:59.984779Z,58,gs75588_Frame_59.jpg,"[{""x"":23.098859315589355,""y"":0.6759611322348965,""width"":60.64638783269962,""height"":59.991550485847064,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",42.742,2023-07-21T15:35:59.984815Z
17,59,1,2023-07-21T15:36:16.174648Z,59,gs75588_Frame_60.jpg,"[{""x"":23.00380228136882,""y"":0.33798056611744826,""width"":60.26615969581749,""height"":60.16054076890578,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.633,2023-07-21T15:36:16.174686Z
18,60,1,2023-07-21T15:36:27.567827Z,60,gs75588_Frame_61.jpg,"[{""x"":23.00380228136882,""y"":0,""width"":61.121673003802286,""height"":62.18842416561048,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",10.901,2023-07-21T15:36:27.567862Z
19,61,1,2023-07-21T15:36:43.873696Z,61,gs75588_Frame_62.jpg,"[{""x"":22.90874524714829,""y"":0.33798056611744826,""width"":60.551330798479086,""height"":59.991550485847064,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",15.771,2023-07-21T15:36:43.873733Z
20,62,1,2023-07-21T15:36:52.787236Z,62,gs75588_Frame_63.jpg,"[{""x"":23.098859315589355,""y"":0.16899028305872413,""width"":59.9809885931559,""height"":61.005492184199404,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",8.405,2023-07-21T15:36:52.787270Z
21,63,1,2023-07-21T15:37:12.427075Z,63,gs75588_Frame_64.jpg,"[{""x"":22.718631178707223,""y"":0.16899028305872413,""width"":60.456273764258555,""height"":63.202365863962825,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",19.12,2023-07-21T15:37:12.427113Z
22,64,1,2023-07-21T15:37:25.766585Z,64,gs75588_Frame_65.jpg,"[{""x"":22.52851711026616,""y"":0.16899028305872413,""width"":60.076045627376416,""height"":60.32953105196451,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.88,2023-07-21T15:37:25.766621Z
23,65,1,2023-07-21T15:37:38.734903Z,65,gs75588_Frame_66.jpg,"[{""x"":22.14828897338403,""y"":0.6759611322348965,""width"":59.695817490494306,""height"":59.82256020278834,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.447,2023-07-21T15:37:38.734938Z
24,66,1,2023-07-21T15:37:51.723028Z,66,gs75588_Frame_67.jpg,"[{""x"":22.338403041825096,""y"":0.6759611322348965,""width"":59.98098859315589,""height"":60.32953105196451,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.361,2023-07-21T15:37:51.723066Z
25,67,1,2023-07-21T15:38:13.651917Z,67,gs75588_Frame_68.jpg,"[{""x"":22.718631178707223,""y"":0,""width"":57.79467680608364,""height"":59.65356991972962,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",21.389,2023-07-21T15:38:13.651954Z
26,68,1,2023-07-21T15:38:23.695717Z,68,gs75588_Frame_69.jpg,"[{""x"":22.24334600760456,""y"":0.6759611322348965,""width"":58.174904942965796,""height"":59.65356991972962,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",9.477,2023-07-21T15:38:23.695753Z
27,69,1,2023-07-21T15:38:51.123078Z,69,gs75588_Frame_70.jpg,"[{""x"":22.52851711026616,""y"":0.6759611322348965,""width"":59.885931558935354,""height"":59.31558935361217,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",26.912,2023-07-21T15:38:51.123112Z
28,73,1,2023-07-21T15:39:26.552402Z,73,gs75588_Frame_74.jpg,"[{""x"":32.414448669201526,""y"":37.17786227291931,""width"":8.745247148288968,""height"":11.322348964934513,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",22.105,2023-07-21T15:39:26.552436Z
29,74,1,2023-07-21T15:39:36.603644Z,74,gs75588_Frame_75.jpg,"[{""x"":35.551330798479086,""y"":37.51584283903676,""width"":8.650190114068444,""height"":10.646387832699617,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",9.6,2023-07-21T15:39:36.603678Z
30,75,1,2023-07-21T15:39:44.528638Z,75,gs75588_Frame_76.jpg,"[{""x"":35.646387832699624,""y"":37.51584283903676,""width"":8.745247148288968,""height"":11.153358681875787,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",7.509,2023-07-21T15:39:44.528672Z
31,76,1,2023-07-21T15:40:04.443574Z,76,gs75588_Frame_77.jpg,"[{""x"":35.646387832699624,""y"":37.51584283903676,""width"":8.460076045627375,""height"":10.984368398817068,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":56.84410646387833,""y"":39.88170680185889,""width"":5.703422053231932,""height"":8.111533586818759,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",19.348,2023-07-21T15:40:04.443619Z
32,77,1,2023-07-21T15:40:17.503817Z,77,gs75588_Frame_78.jpg,"[{""x"":35.741444866920155,""y"":37.34685255597803,""width"":8.555133079847906,""height"":11.322348964934513,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":56.749049429657795,""y"":40.38867765103507,""width"":5.7034220532319395,""height"":7.435572454583863,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",12.517,2023-07-21T15:40:17.503849Z
33,78,1,2023-07-21T15:40:38.317305Z,78,gs75588_Frame_79.jpg,"[{""x"":35.551330798479086,""y"":37.51584283903676,""width"":8.840304182509506,""height"":11.322348964934513,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":56.93916349809886,""y"":40.21968736797634,""width"":5.5133079847908775,""height"":7.942543303760033,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",20.259,2023-07-21T15:40:38.317341Z
34,79,1,2023-07-21T15:40:59.466849Z,79,gs75588_Frame_80.jpg,"[{""x"":35.646387832699624,""y"":37.8538234051542,""width"":8.840304182509499,""height"":10.815378115758342,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":57.22433460076045,""y"":40.72665821715251,""width"":5.038022813688215,""height"":7.097591888466418,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",20.521,2023-07-21T15:40:59.466885Z
35,80,1,2023-07-21T15:42:37.784829Z,80,gs75588_Frame_81.jpg,"[{""x"":35.646387832699624,""y"":37.17786227291931,""width"":8.555133079847906,""height"":11.998310097169409,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":58.650190114068444,""y"":44.277096230042396,""width"":5.703422053231932,""height"":7.604562737642581,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720},{""x"":59.6958174904943,""y"":45.122618799651384,""width"":4.752851711026615,""height"":5.914659907055345,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",97.825,2023-07-21T15:42:37.784885Z
36,81,1,2023-07-21T15:42:45.677606Z,81,gs75588_Frame_82.jpg,,7.271,2023-07-21T15:42:45.677643Z
37,82,1,2023-07-21T15:42:55.878795Z,82,gs75588_Frame_83.jpg,,9.727,2023-07-21T15:42:55.878830Z
38,83,1,2023-07-21T15:43:43.837424Z,83,gs75588_Frame_84.jpg,"[{""x"":56.84410646387833,""y"":40.21968736797634,""width"":5.703422053231932,""height"":7.435572454583863,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",47.188,2023-07-21T15:43:43.837459Z
39,84,1,2023-07-21T15:43:57.599097Z,84,gs75588_Frame_85.jpg,,13.095,2023-07-21T15:43:57.599133Z
